pub_date,description,sentiment
2024-11-04 09:00:00,코스피 시가총액 상위 10개 종목 중에서는 <SK하이닉스>000660 121 삼성전자005930 051 삼성전자우005935 021 등이 오랜만에 동반 강세다 이외에도 네이버035420 247 기아000270 095 현대차005380,1
2024-11-04 09:00:00,시가총액 상위 종목 중 삼성전자137 <SK하이닉스>170 등 반도체주와 현대차164 기아233 등이 오르고 있다 반면 삼성바이오로직스040 셀트리온006 KB금융218 등은 하락 중이다 업종별로 보면,0
2024-11-04 09:00:00,KB증권은 지난 달 23일부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트 알파벳A 메타 플랫폼즈 스타벅스 등 주요 국내외 기업의 실적 발표 핵심 내용을 전달했다 이번,0
2024-11-04 09:00:00,KB증권은 지난달 23일부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트MSFT 알파벳AGOOGL 메타 플랫폼즈META 스타벅스SBUX 등 주요 국내외 기업의 실적 발표 핵심 내용을,0
2024-11-04 09:00:00,KB증권은 지난 달 23일부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트 알파벳A 메타 플랫폼즈 스타벅스 등 주요 국내외 기업의 실적 발표 핵심 내용을 전달했다 이번 3분기,0
2024-11-04 09:00:00,KB증권은 지난 달 23일수부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트MSFT 알파벳AGOOGL 메타 플랫폼즈META 스타벅스SBUX 등 주요 국내외 기업의 실적 발표 핵심,0
2024-11-04 09:00:00,<SK하이닉스>는 159 상승한 18만5100원을 가리키고 있다 이밖에 기아223 현대차141 POSCO홀딩스104 삼성전자우073는 오르고 있다 셀트리온LG에너지솔루션000은 가격 움직임이 적다 코스닥,1
2024-11-04 09:00:00,주문형반도체ASIC 디자인솔루션 대표기업 에이직랜드445090가 <SK하이닉스>와 함께 첫 양산제품으로 차세대 메모리인 컴퓨트 익스프레스 링크CXL를 낙점했다 <SK하이닉스>의 핵심 성장동력을 통해 동맹 관계를,0
2024-11-04 09:00:00,시가총액 상위 종목 중 삼성전자120 <SK하이닉스>159 현대차117 기아201 POSCO홀딩스045 NAVER236 등이 오름세다 반면 LG에너지솔루션061 셀트리온011 KB금융174 신한지주019,1
2024-11-04 09:00:00,SK 최고영여진 30여명 참석한 2024 CEO세미나 <SK하이닉스> HBM 등 수펙스 사례 공유 인더뉴스 이종현 기자ㅣ최태원 SK그룹 회장이 SK 계열사 CEO들에게 확대되는 AI 시대에 대비해 운영개선OI을 완성해야함을,0
2024-11-04 09:00:00,외국인과 기관은 각각 422억원 192억원어치 팔아치우고 있지만 개인은 553억원어치 사들이고 있다시가총액 상위 10개 종목 중 삼성전자120 <SK하이닉스>148 LG에너지솔루션012 현대차117,0
2024-11-04 09:00:00,<SK하이닉스>로부터 CXL이 적용된 주문형 반도체 설계 용역을 수주했다고 공시하면서다 4일 오전 9시 25분 현재 에이직랜드는 전 거래일 대비 577 오른 4만3050원에 거래 중이다,1
2024-11-04 09:00:00,시가총액 상위 종목에서는 삼성전자 <SK하이닉스> 등이 강세다 4일 오전 9시 20분 기준 코스피 지수는 전 거래일보다 967포인트038 오른 255203을 나타낸다 개인이 671억원 순매수 중이다 외국인과 기관은 436억원,1
2024-11-04 09:00:00,KB증권은 지난달 23일부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트 알파벳A 메타 플랫폼즈 스타벅스 등 주요 국내외 기업의 실적 발표 핵심 내용을 전달했다 이번 3분기,0
2024-11-04 09:00:00,주요 구성종목을 살펴보면 <SK하이닉스>152 삼성전자127 현대차83 셀트리온70 기아61 신한지주60 KTG27 삼성화재27 우리금융지주26 한화에어로스페이스23이고 정보기술,0
2024-11-04 09:00:00,<SK하이닉스>와 컴퓨트익스프레스링크CXL 적용 주문형 반도체 설계 공급 계약 소식에 매수세가 몰리는 것으로 풀이된다 4일 엠피닥터에 따르면 오전 9시 26분 현재 에이직랜드는 전 거래일보다 5412200원,1
2024-11-04 09:00:00,<SK하이닉스>000660 역시 132 올라 18만 4600원을 가리키고 있다 지난 31일현지시간 뉴욕증시서 인공지능AI 관련주가 약세를 보이며 국내 반도체주도 1일 하락세를 탔지만 다시 1일현지시간 뉴욕증시에서,1
2024-11-04 09:00:00,<SK하이닉스>가 지난해 8조 원에 가까운 영업적자를 극복하고 올해 3분기 7조 원의 역대 최대 분기 영업이익을 기록한 요인도 소개했다 곽노정 <SK하이닉스> CEO는 낸드플래시 생산기지인 청주 M15를 고대역폭메모리HBM,1
2024-11-04 09:00:00,KB증권은 지난 달 23일부터 AI 실적속보를 통해 삼성전자와 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트MSFT 알파벳AGOOGL 메타 플랫폼즈META 스타벅스SBUX 등 주요 국내외 기업의 실적 발표 핵심,0
2024-11-04 09:00:00,HBM3E5세대 시장에서 <SK하이닉스> 등 경쟁업체에 밀렸다는 평가를 받는 삼성전자는 6세대 제품인 HBM4 개발 및 양산에 사활을 걸고 있다 HBM4부터는 베이스 다이에 고객의 요구에 맞춘 기능을 넣기 위한 공정을 거치게,0
2024-11-04 09:00:00,KB증권은 지난달 23일부터 AI 실적속보를 통해 삼성전자 <SK하이닉스> 현대차 HD현대건설기계 마이크로소프트 알파벳A 메타 플랫폼즈 스타벅스 등 주요 국내외 기업의 실적 발표 핵심 내용을 전달했다 이번 3분기,0
2024-11-04 09:00:00,시가총액상위주 가운데 삼성전자103 <SK하이닉스>143 현대차141 기아201 등은 오르고 있다 LG에너지솔루션024 삼성바이오로직스020 KB금융185 등은 내리고 있다 코스닥은 전 거래일,0
2024-11-04 09:00:00,이상일 시장은 삼성전자가 360조원을 투자하는 이동남사읍의 첨단시스템반도체 국가산업단지 유치지난해 3월와 함께 이곳 국가산단과 <SK하이닉스>가 122조원을 투자하는 원삼면의 용인반도체 클러스터 삼성전자가,0
2024-11-04 09:00:00,유안타증권은 4일 보고서를 내고 지수 헤드라인 성과는 양호하지만 고려아연 <SK하이닉스> 한화에어로스페이스 등의 소수 종목 성과 익스포져가 높은 편이라며 특히 고려아연은 경영권 분쟁 관련 실질 유동물량,1
